Grid_ID,row,col,lat,lon,Distance_to_Camp_km,Treatment_Status,Land_Frac,Forest_Frac,Tree_Cover_2000_mean,N_forest_px,Cumulative_Pre_Loss_2001_2016,Loss_any_frac_of_forest,Donor_Eligible,Reject_Reason,PreTrend_RMSE,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016
G099_005,99,5,21.3045,91.9495,24.71,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_006,99,6,21.3045,91.9585,23.89,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_007,99,7,21.3045,91.9675,23.07,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_008,99,8,21.3045,91.9765,22.27,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_009,99,9,21.3045,91.9855,21.48,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_010,99,10,21.3045,91.9945,20.7,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_011,99,11,21.3045,92.0035,19.93,spillover_excluded,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_012,99,12,21.3045,92.0125,19.18,spillover_excluded,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_013,99,13,21.3045,92.0215,18.44,spillover_excluded,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_014,99,14,21.3045,92.0305,17.72,spillover_excluded,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
